"nota","tgl","kode","tarif","fpkt"
"JL23060061","2023-06-29","0012","65000",
"JL23060061","2023-06-29","0016","75000",
"JL23060061","2023-06-29","0023","35000",
"JL23060062","2023-06-29","0006","45000",
"JL23060063","2023-06-30","0035","110000",
"JL23070001","2023-07-01","0003","95000",
"JL23070002","2023-07-01","0003","95000",
"JL23070003","2023-07-02","0004","120000",
"JL23070003","2023-07-02","0004","120000",
"JL23070004","2023-07-02","0003","95000",
"JL23070004","2023-07-02","0003","95000",
"JL23070005","2023-07-03","0023","35000",
"JL23070006","2023-07-03","0018","125000",
"JL23070007","2023-07-04","0036","230000",
"JL23070007","2023-07-04","0016","70000",
"JL23070007","2023-07-04","0024","135000",
"JL23070007","2023-07-04","0036","230000",
"JL23070007","2023-07-04","0024","135000",
"JL23070007","2023-07-04","0016","70000",
"JL23070008","2023-07-04","0017","99000",
"JL23070008","2023-07-04","0017","99000",
"JL23070009","2023-07-05","0008","40000",
"JL23070009","2023-07-05","0009","45000",
"JL23070009","2023-07-05","0027","55000",
"JL23070010","2023-07-05","0015","35000",
"JL23070010","2023-07-05","0018","125000",
"JL23070010","2023-07-05","0023","35000",
"JL23070011","2023-07-06","0003","95000",
"JL23070012","2023-07-06","0031","150000","**"
"JL23070013","2023-07-06","0038","20000",
"JL23070013","2023-07-06","0024","135000",
"JL23070013","2023-07-06","0024","135000",
"JL23070013","2023-07-06","0038","20000",
"JL23070014","2023-07-06","0017","99000",
"JL23070015","2023-07-06","0017","99000",
"JL23070016","2023-07-08","0028","130000",
"JL23070016","2023-07-08","0023","35000",
"JL23070017","2023-07-09","0006","45000",
"JL23070018","2023-07-09","0011","45000",
"JL23070018","2023-07-09","0013","120000",
"JL23070019","2023-07-11","0010","40000",
"JL23070019","2023-07-11","0035","110000",
"JL23070020","2023-07-11","0006","45000",
"JL23070021","2023-07-13","0010","40000",
"JL23070021","2023-07-13","0011","45000",
"JL23070022","2023-07-13","0019","135000",
"JL23070022","2023-07-13","0019","135000",
"JL23070023","2023-07-14","0006","45000",
